Posição;PTS;J;V;E;D;GP;GC;SG;CA;CV;%;Recentes
1º  0 Flamengo - RJ Flamengo - RJ;90;38;28;6;4;86;37;49;90;3;78;V V D
2º  0 Santos - SP Santos - SP;74;38;22;8;8;60;33;27;110;12;64;V D V
3º  0 Palmeiras - SP Palmeiras - SP;74;38;21;11;6;61;32;29;78;5;64;D V V
4º  0 Grêmio - RS Grêmio - RS;65;38;19;8;11;64;39;25;80;2;57;V V D
5º  0 Athletico Paranaense - PR Athletico Paranaense - PR;64;38;18;10;10;51;32;19;83;2;56;E V E
6º  0 São Paulo - SP São Paulo - SP;63;38;17;12;9;39;30;9;87;7;55;D V V
7º +1 Internacional - RS Internacional - RS;57;38;16;9;13;44;38;6;98;3;50;V D V
8º -1 Corinthians - SP Corinthians - SP;56;38;14;14;10;42;34;8;72;2;49;D V D
9º  0 Fortaleza - CE Fortaleza - CE;53;38;15;8;15;50;49;1;85;13;46;V E V
10º  0 Goiás - GO Goiás - GO;52;38;15;7;16;46;64;-18;86;7;45;D D V
11º  0 Bahia - BA Bahia - BA;49;38;12;13;13;44;43;1;65;6;42;V E D
12º +1 Vasco da Gama - RJ Vasco da Gama - RJ;49;38;12;13;13;39;45;-6;105;5;42;V E E
13º -1 Atlético - MG Atlético - MG;48;38;13;9;16;44;49;-5;69;5;42;V V D
14º  0 Fluminense - RJ Fluminense - RJ;46;38;12;10;16;38;46;-8;87;12;40;E E V
15º  0 Botafogo - RJ Botafogo - RJ;43;38;13;4;21;31;45;-14;94;3;37;D D E
16º  0 Ceará - CE Ceará - CE;39;38;10;9;19;36;41;-5;85;3;34;E D E
17º  0 Cruzeiro - MG Cruzeiro - MG;36;38;7;15;16;27;46;-19;81;6;31;D D D
18º  0 Csa - AL Csa - AL;32;38;8;8;22;24;58;-34;90;4;28;D D D
19º  0 Chapecoense - SC Chapecoense - SC;32;38;7;11;20;31;52;-21;79;6;28;D V E
20º  0 Avaí - SC Avaí - SC;20;38;3;11;24;18;62;-44;79;10;17;E D E
